time,ax,ay,az,atotal
31.87435483932495,-0.01,0.0,0.01,0.01
31.874791145324707,-0.01,0.0,-0.02,0.02
31.875170946121216,-0.01,0.0,-0.02,0.02
31.875607013702393,-0.01,0.01,0.01,0.01
31.87692403793335,-0.02,0.0,-0.02,0.02
31.87741184234619,-0.02,-0.01,-0.02,0.03
31.87789797782898,-0.02,0.0,0.01,0.02
31.878364086151123,-0.01,0.0,-0.01,0.01
31.87878704071045,-0.01,0.01,-0.01,0.01
31.880028009414673,-0.01,0.01,0.0,0.01
31.880433082580566,-0.01,0.01,-0.01,0.01
31.880887031555176,-0.01,-0.01,-0.02,0.02
31.881339073181152,-0.01,0.0,0.0,0.01
31.881741046905518,-0.01,0.0,-0.01,0.01
31.88300085067749,-0.01,0.01,-0.02,0.02
31.883437156677246,-0.02,0.01,-0.01,0.02
31.883826971054077,-0.02,0.01,0.0,0.02
31.88424301147461,-0.02,0.01,-0.01,0.02
31.88468885421753,-0.01,0.0,-0.01,0.01
31.885926008224487,-0.01,0.0,0.0,0.01
31.88656997680664,-0.02,0.0,-0.01,0.02
31.887073040008545,-0.01,0.0,-0.01,0.01
31.887542009353638,-0.02,-0.01,-0.01,0.02
31.88804292678833,-0.01,0.0,-0.02,0.02
31.889305114746094,-0.01,0.0,-0.01,0.01
31.89753007888794,-0.01,0.0,-0.01,0.01
31.90759801864624,-0.01,0.0,-0.01,0.01
31.91757297515869,-0.01,0.0,-0.01,0.01
31.940727949142456,-0.02,0.01,0.0,0.02
31.991291046142578,-0.02,0.01,0.0,0.02
32.02353096008301,-0.01,0.0,-0.01,0.01
32.04793310165405,-0.01,0.0,-0.01,0.01
32.06139516830444,-0.01,0.01,-0.01,0.01
32.07884502410889,-0.01,0.0,-0.02,0.02
32.12312197685242,-0.01,0.0,-0.02,0.02
32.12639093399048,-0.02,0.0,0.0,0.02
32.129480838775635,-0.01,0.0,0.0,0.01
32.13234090805054,-0.01,0.01,-0.02,0.02
32.141594886779785,-0.02,0.0,0.0,0.02
32.2089900970459,-0.03,-0.01,0.0,0.03
32.2122368812561,-0.01,-0.02,-0.01,0.02
32.2191219329834,0.0,0.0,0.0,0.0
32.222412109375,0.02,0.05,-0.01,0.05
32.22493314743042,0.02,0.05,-0.05,0.07
32.254066944122314,-0.01,-0.04,-0.02,0.04
32.295494079589844,-0.05,-0.05,0.04,0.08
32.30277490615845,-0.04,-0.01,-0.02,0.04
32.30739784240723,-0.02,0.01,-0.05,0.05
32.32034683227539,-0.03,0.01,0.03,0.04
32.37697410583496,-0.01,0.01,0.02,0.02
32.388612031936646,0.02,0.02,-0.04,0.04
32.401978969573975,0.01,0.01,-0.03,0.03
32.41723299026489,0.0,-0.01,-0.01,0.01
32.42689609527588,-0.01,-0.01,-0.03,0.03
32.47832489013672,-0.02,0.0,-0.02,0.02
32.492011070251465,-0.02,0.01,0.0,0.02
32.51582908630371,-0.03,0.02,0.0,0.03
32.53058695793152,-0.02,0.01,0.0,0.02
32.5616021156311,-0.01,0.0,0.0,0.01
32.60759902000427,-0.01,-0.02,-0.01,0.02
32.62840795516968,-0.01,-0.01,0.01,0.01
32.66761302947998,0.01,0.01,-0.02,0.02
32.67918586730957,0.0,0.03,-0.04,0.05
32.68203687667847,-0.02,0.01,-0.02,0.03
32.69915795326233,-0.03,0.0,-0.01,0.03
32.7040159702301,-0.02,-0.01,0.0,0.02
32.70890808105469,-0.01,0.0,0.0,0.01
32.71574783325195,-0.01,-0.01,0.0,0.01
32.71999001502991,-0.01,0.01,0.0,0.01
32.73907494544983,-0.01,0.02,-0.01,0.02
32.75193500518799,0.0,0.01,-0.01,0.01
32.77277088165283,-0.01,0.01,-0.02,0.02
32.81224703788757,0.0,0.0,-0.03,0.03
32.82606792449951,-0.01,0.0,-0.03,0.03
32.86754298210144,-0.02,-0.02,-0.01,0.03
32.88431215286255,-0.01,-0.01,0.01,0.01
32.894904136657715,-0.01,0.0,0.0,0.01
32.907795906066895,-0.01,0.02,0.0,0.02
32.92246198654175,-0.01,0.01,0.02,0.02
32.947386026382446,0.0,0.01,-0.02,0.02
32.9670090675354,0.0,0.0,-0.03,0.03
32.983612060546875,0.0,-0.01,-0.02,0.02
32.99266600608826,-0.02,-0.02,-0.02,0.03
33.00191903114319,-0.02,0.01,-0.01,0.02
33.03272008895874,-0.01,0.01,-0.01,0.01
33.04132699966431,-0.02,0.02,0.0,0.02
33.05027198791504,-0.02,0.0,0.01,0.02
33.06052899360657,-0.01,-0.01,0.0,0.01
33.07658100128174,-0.02,0.0,-0.01,0.02
33.09717798233032,-0.01,0.0,-0.02,0.02
33.104690074920654,-0.01,0.0,-0.01,0.01
33.11212491989136,-0.01,0.01,-0.01,0.01
33.120429039001465,-0.01,0.02,-0.03,0.03
33.12863302230835,-0.01,0.01,-0.01,0.01
33.151082038879395,-0.01,0.0,0.0,0.01
33.15989804267883,-0.02,-0.01,-0.01,0.02
33.16750907897949,-0.01,-0.01,-0.01,0.01
33.175174951553345,-0.01,0.0,0.0,0.01
33.18299388885498,-0.01,0.01,-0.01,0.01
33.20585894584656,-0.01,0.0,-0.03,0.03
33.21349811553955,-0.01,0.0,-0.01,0.01
33.22174310684204,-0.02,-0.01,-0.01,0.02
33.2299530506134,-0.01,0.0,-0.02,0.02
33.23753094673157,-0.01,0.0,-0.01,0.01
33.25989103317261,-0.01,0.0,0.0,0.01
33.26729488372803,-0.01,0.01,0.0,0.01
33.27483296394348,-0.01,0.0,0.0,0.01
33.28347897529602,-0.01,0.0,-0.02,0.02
33.29120397567749,-0.01,0.0,-0.01,0.01
33.313650131225586,-0.02,0.0,-0.01,0.02
33.32110404968262,-0.01,0.0,-0.02,0.02
33.329100131988525,0.0,-0.01,-0.02,0.02
33.3376898765564,0.0,0.01,-0.01,0.01
33.34492206573486,-0.01,0.01,-0.01,0.01
33.36624813079834,-0.01,0.01,-0.01,0.01
33.3761191368103,-0.02,-0.01,0.0,0.02
33.38826894760132,-0.02,0.0,0.0,0.02
33.39811611175537,-0.01,0.0,-0.01,0.01
33.403903007507324,-0.01,0.0,-0.01,0.01
33.41918706893921,0.0,0.0,-0.01,0.01
33.422911167144775,0.0,0.01,-0.01,0.01
33.426167011260986,-0.01,0.0,-0.01,0.01
33.42921805381775,-0.01,0.0,-0.01,0.01
33.432323932647705,-0.01,0.0,0.0,0.01
33.442888021469116,-0.02,-0.01,0.01,0.02
33.44645404815674,-0.01,-0.01,0.0,0.01
33.45065784454346,-0.01,0.0,-0.02,0.02
33.45369815826416,-0.01,0.0,-0.01,0.01
